TIME,h2o_mf 1x50bins : 1x50bins (01x01x01) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x02) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x03) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x04) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x05) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x06) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x07) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x08) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x09) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x10) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x11) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x12) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x13) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x14) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x15) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x16) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x17) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x18) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x19) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x20) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x21) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x22) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x23) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x24) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x25) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x26) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x27) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x28) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x29) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x30) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x31) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x32) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x33) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x34) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x35) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x36) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x37) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x38) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x39) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x40) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x41) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x42) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x43) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x44) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x45) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x46) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x47) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x48) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x49) : Average Particle water-liquid,h2o_mf 1x50bins : 1x50bins (01x01x50) : Average Particle water-liquid,temp : Average Particle Temperature
92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014996026135091968,0.015,0.014951734091142808,0.014903440978542359,0.014759339074403008,0.014605585818057359,0.014559749034422519,0.01437618887235978,0.01381978029652401,0.0129273963275172,0.0126770445011313,0.01278789933636879,0.01228299053092713,0.01048804944935955,0.00984672900752685,0.009543766594132709,0.00957057361833951,0.0066162667913068195,0.00581919122958306,0.00494635384692093,0.00412721210534349,0.0035484407671880396,0.0024705057590124297,0.00178728849121065,0.0013616205517056,0.00070432928853075,0.00010961851205823,0.00013212547121091,0.00013250614876874999,5.864511986631e-05,7.229802113748e-05,2.7120481294260883e-05,4.579827342665978e-06,2.756601608169318e-06,7.140938087744752e-06,1.3017387229142849e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.2739085909906
93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014831154615166289,0.014963153240166688,0.014890317480012209,0.01473357953713485,0.014613403719530309,0.01427757015349506,0.013835850758696339,0.01340595107524281,0.012908696863928159,0.012984658874108131,0.01242152984561763,0.010726191175526069,0.01004692947609972,0.00977675610240183,0.00896447578132161,0.00685667824275642,0.00583152956589369,0.0050075553411630894,0.00403785432955509,0.00324020002815501,0.00241946672662716,0.00115139766258846,0.00129373944625779,0.00044960942970849,0.00017213130298341,0.00025932909625883997,0.00011425704830966999,5.024702481624e-05,7.902333149163e-05,8.423013653148e-05,1.809616671449371e-05,6.490575152393587e-06,3.1741504413234198e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.51005630483695
94.0,0.0,0.0,0.0,0.0,0.015,0.0131958465656025,0.0,0.01475707108017768,0.01494115849945956,0.01490588542639578,0.01482598370882874,0.014871390628019879,0.014619212853040079,0.014444211033630208,0.013855985202510959,0.01307407381970493,0.01251290547027777,0.013211582229591418,0.012269827152478228,0.0104587064243952,0.01028762928277512,0.00943001066342502,0.008646823647064589,0.007206643098243809,0.00631976196136629,0.00508498134164727,0.00400837430173881,0.00355742754535365,0.0023959165871358895,0.00135068733533154,0.0010163335515409198,0.0008432551924082401,0.00041697981768158997,0.00019095060645039,0.00011999085069726,7.46143539978e-05,7.720945616529e-05,2.7865815550379798e-05,4.390380350916e-05,1.4645703294290365e-05,1.3372542011731733e-05,7.904442798336209e-07,4.478898940527738e-06,7.338853532745379e-07,0.0,0.0,0.0,0.0,0.0,0.0,439.58553024989874
95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01485299740678005,0.014931607164342088,0.01496820352792092,0.014731626245094328,0.01462705792566759,0.01457389653515925,0.01432118257604547,0.01387965181383747,0.01294577775301641,0.012824487283090949,0.01261138011004431,0.012445073516010659,0.01070450037866322,0.010069134437593231,0.00957860916965751,0.00928051261949976,0.00663231133424832,0.00584970635099937,0.00518266883658585,0.00450186752981613,0.0034283018192611497,0.00275447874272028,0.00151917390224553,0.00136174063662546,0.0007038432232968,0.00016700190921039,0.00013205654594736,7.775708227113e-05,3.652660199811e-05,2.356721956816252e-05,8.819036186898e-05,7.532049401838e-05,8.392324220453408e-06,6.387856336530775e-06,8.434660820161237e-07,1.6110285134896478e-06,4.5942510659530334e-07,0.0,0.0,0.0,0.0,0.0,0.0,442.13978133655934
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01403082008164938,0.01486643366024103,0.014927356700122501,0.014976698924992649,0.01489718241722199,0.014713311368771909,0.01466085693535359,0.014305399153400039,0.013832317860164098,0.01331708304125982,0.01285107416919498,0.01293905355813021,0.0127386833295075,0.01072047293621856,0.01050901421140137,0.009819841922413109,0.009288451253958479,0.006897036157164059,0.0060223881301404904,0.0053718267142763105,0.004327497640341,0.00339308635041588,0.00254692862669019,0.00147641832843756,0.00157689003414606,0.0005248417569893999,0.0004885458017368499,0.00034316677893828,0.00015076266175242,4.6001359539809995e-05,8.497315062518999e-05,2.806919215839674e-05,1.853554325231283e-05,2.884269977886673e-05,2.004126969107568e-06,1.5226846341161413e-06,1.6575760420187785e-07,5.180228302732293e-06,0.0,0.0,0.0,0.0,0.0,0.0,440.732476625248
97.0,0.0,0.0,0.0,0.0,0.0,0.01101726048515691,0.0149150890236033,0.014561148219051058,0.01440647456997882,0.01493029573028532,0.01485734063220507,0.014905960850636068,0.014740666767664529,0.01447974818606838,0.01392813047268912,0.01305642400586385,0.01258528709669172,0.0133058738270592,0.012232036495982819,0.01077517857386502,0.01035908287500639,0.009742809966087151,0.00889613302532508,0.007405943198861519,0.00623149381542801,0.0049389866244268195,0.00410560936952856,0.0036388634987609696,0.00209140425831135,0.00151169636235606,0.00099226211237751,0.00075766535337306,0.0004792636298127,0.00025450786942494,7.328160107472e-05,6.552024403833e-05,8.054688996551999e-05,6.747190076945999e-05,6.2246660168255855e-06,3.051174154044e-05,1.058001717402969e-05,6.945246666153059e-06,9.257296948139313e-07,1.883799419021289e-06,0.0,0.0,0.0,0.0,0.0,0.0,440.53307148780095
98.0,0.0,0.0,0.0,0.0,0.0,0.013266789238595249,0.014595391397051068,0.0,0.014688871178288399,0.014976185024303909,0.014782448364872969,0.01458615876888723,0.014605943415918239,0.01435063141348425,0.01387191311986674,0.012926127255928859,0.01295364373648023,0.01280291676776829,0.0124154345000625,0.01053537581935239,0.01010783037745791,0.00970433293335078,0.009572380282969499,0.0071220085793234095,0.00598020510462864,0.0054213954382133995,0.0043233112242828,0.00343030152661794,0.0023734295484558,0.00164265596122011,0.00130411424708382,0.00062594264072802,0.00013305390150291,0.00016557662404956,0.00016303969722075,2.5801419149909533e-05,5.1247897407269995e-05,6.454516326084e-05,3.378877497699e-05,4.672345997931e-05,4.568653738095e-05,1.1591514079447675e-05,8.097023645241661e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.7521746004096
99.0,0.0,0.0,0.0,0.0,0.0,0.01498627276856046,0.0,0.015,0.014877900135130679,0.014950648466423489,0.01490654829411219,0.01473357351887766,0.0145352154476121,0.014334270196921168,0.013944478639134629,0.01338812561579025,0.012795958669735739,0.01294952866747398,0.01274062718826624,0.0108699070653792,0.01072771054774491,0.009998822517602578,0.00960010003504941,0.0070914509675709895,0.0060476661275198395,0.005369708005381799,0.00441188283228609,0.00419467206213648,0.00270449899269198,0.0013698151150014898,0.0011427775020753,0.00064460212965651,0.00021016425447569997,0.00032282805975651,0.00020975272910607,0.00012053586554478,7.467432824121e-05,5.260028544708e-05,3.36580187832e-05,1.8860723677084104e-05,2.6201692678880656e-05,8.453878810037887e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6832544534643
100.0,0.0,0.0,0.0,0.0,0.0,0.01474754801836476,0.0,0.014327393415102899,0.014790361017978539,0.01496208905419905,0.01484084456637207,0.01487200504374042,0.014733943889681219,0.014422383595195199,0.0139148543498163,0.01318482835109199,0.01263585537927609,0.013400782041507419,0.01219712915025549,0.0106301208589143,0.01024638794275371,0.00954632079323532,0.00861584271301164,0.00754125465332796,0.006011458543419599,0.005306617118352779,0.00386289697631418,0.00376661580562038,0.00222318066949953,0.0016837145135842801,0.00117851506980492,0.00074778124637469,0.00039428585774207997,0.00047773853900624996,0.0002534324915019,0.00011699559586557,7.378873772442001e-05,4.056581807628e-05,4.67482463496e-05,3.0495904443479998e-05,1.6623717369556712e-05,3.14032713663e-05,0.0,0.0,1.8710830920594814e-06,0.0,0.0,0.0,0.0,0.0,440.4111687735158
101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01498434091810083,0.014978067068296139,0.01486685141008896,0.01477145309053521,0.01458355712475618,0.014564562132495028,0.014293752975175858,0.013967568627243151,0.01303454159491119,0.01281209481638775,0.012722898828702148,0.01254941303481237,0.01070574350395617,0.00996222896799981,0.00973713348549546,0.00957273007673859,0.007159924395320969,0.00612862827989295,0.00522947534674152,0.00451152545154819,0.00360647482852872,0.0024999137448429897,0.00174298956771027,0.00120660824143185,0.00063948131514471,0.00017738894122190998,0.00014053954122561,0.00014576293750134,0.00011278680760731,9.205628830457999e-05,2.6538347513266057e-05,8.790766265856999e-06,2.5486430681000635e-05,1.354988734553973e-05,4.344467228652791e-06,1.9717017783614836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.29788193604327
102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01479877814149614,0.01484770643920716,0.014918232138596728,0.01486958681241108,0.014753874155608918,0.01464229382749047,0.01432351099013484,0.01390077117140817,0.01338390185538477,0.01298562576003582,0.01300362402583965,0.012842864487796828,0.01082288893168455,0.010538852565038519,0.01007277687049917,0.00948659049103245,0.00745583575319049,0.00597544798822695,0.005502773025836789,0.00462343748907324,0.0038581871948291098,0.00280622686217664,0.00170823458469324,0.00117260897945751,0.00025950763799853,0.00028848130075506,0.00034531872893949,0.00018162430229096997,0.00010924709320457999,7.891814321477999e-05,4.5171905095529996e-05,1.9460503750140445e-05,5.0333138774069995e-05,2.9666652200460478e-05,9.3357072022667e-06,1.229788468079653e-06,7.1907028349730405e-06,0.0,1.003092568860942e-06,0.0,0.0,0.0,0.0,439.83979493304594
103.0,0.0,0.0,0.0,0.0,0.0,0.01496086793893308,0.01480656804051465,0.01499085423403227,0.014214863451478741,0.01490640343813662,0.014828912599161179,0.01485848328987531,0.01467411952697436,0.01447635155356116,0.01391376193898046,0.013108717911549179,0.01263512671393122,0.01331739984361977,0.01235737098436443,0.01043149784158983,0.01050583885002447,0.00965824648091637,0.00909873970497024,0.007815896553017789,0.0062984278807969194,0.005090000871190889,0.00438368813822538,0.0044689790136285,0.00230670414424062,0.00150641764524549,0.00105630794918877,0.0007536183260749201,0.00050753070090048,0.00053902813307664,0.00025171869350304,0.00013073368058372998,0.00011245330031468999,4.6808871339389994e-05,3.75060367278e-05,1.1901354533992836e-05,3.549041945916e-05,4.495900234806e-05,3.3106058786300926e-06,5.120582464693915e-06,2.1106224968963167e-06,8.215985343137835e-07,0.0,0.0,0.0,0.0,438.4151757421831
104.0,0.0,0.0,0.0,0.0,0.0,0.014999430236922899,0.0,0.015,0.01488928278250467,0.014969521318749478,0.01473644454475842,0.014596360571145028,0.014588710781104979,0.01433795133811095,0.013973454275610689,0.01299785809107492,0.01286742974921574,0.01288860398017332,0.012457309960621589,0.010575056961530759,0.01008908719164087,0.009441449942552851,0.00963926811598857,0.0074548751930894695,0.006178954848188011,0.00538913703621837,0.0047093268030498,0.00375122167265454,0.0024261833375341497,0.0017592104807299198,0.00137832202191312,0.00045827395718741996,0.00024894651810170997,0.00021268079996505,0.00013018290041183999,0.0001412746767567,8.122881250863e-05,4.967259674625e-05,8.072569415865e-05,1.5810496721145982e-05,2.8565354169712704e-05,1.7164602714863285e-05,3.2399280393149995e-05,9.797144225618534e-06,4.137229058974863e-06,0.0,0.0,0.0,0.0,0.0,440.4672612248143
105.0,0.0,0.0,0.0,0.0,0.01496980757406927,0.0,0.0,0.015,0.014855291368652698,0.014954072942871838,0.014898619339091429,0.01478167669825236,0.014634628688512558,0.01432529884869231,0.013887692991582901,0.0135135032032203,0.013079162337277619,0.01316415607391544,0.01265161103742369,0.010811919172033021,0.010678031115070109,0.00987308796273519,0.00943660414387725,0.007831050165710009,0.00626071073847912,0.0052020917163982505,0.00459236681735847,0.0040200805201263,0.0032129748961582795,0.00174697185821403,0.00124906531314714,0.00045647349293229,0.00014361738638514,0.00038140723371534,0.00024398679536985,9.579409842729e-05,0.00010591152417516,6.969612378333e-05,6.721135392219e-05,3.854679898227e-05,9.221870971606224e-06,1.6914104893209418e-05,2.2326946106580723e-05,5.389422378438021e-07,3.4948211297294363e-06,0.0,0.0,0.0,0.0,0.0,436.984993507842
106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01465414618959615,0.014973454901589689,0.014757369415800449,0.01487472738990006,0.014845788502776779,0.01488812067412632,0.014682166726418549,0.01451035711192986,0.01397085947327781,0.013133783075526059,0.01270390847409555,0.01348055088070293,0.01252125249918969,0.01070384668775883,0.01069993221652398,0.0097416284127483,0.0090752331237753,0.00784336814117346,0.0063345739776314094,0.00542269548990246,0.004304333170967969,0.00429406322098386,0.00277799443694994,0.0016271527391615401,0.0011086852451502299,0.00068409562767723,0.00048337486596029995,0.00034299790924643996,0.00016136409264717,0.00015747938674965,8.168282617347e-05,4.406933357841e-05,3.0494637568949997e-05,3.468605756484e-05,2.8671930326514912e-05,1.749303147484364e-05,2.8351073710234988e-05,9.776823078006802e-06,1.6285278327888505e-05,0.0,0.0,3.7564486942857525e-06,0.0,0.0,436.0564300363008
107.0,0.0,0.0,0.0,0.0,0.014103837758382119,0.0,0.01499594739825165,0.014957859501821609,0.014613696090724078,0.014981179482876599,0.014797455906362519,0.014671507275343798,0.01458492538179468,0.01434059580571698,0.01404210742007307,0.01303688287740282,0.01282438569533532,0.01296975650775948,0.012536824099269988,0.010484341465686,0.010202926293013321,0.009809913321967739,0.00984380019962709,0.00787847933015733,0.00629373486486987,0.00552372710628837,0.0048408338157678,0.00369139717066038,0.00255910527107826,0.00194652695228229,0.00127514696802729,0.0005063070898752,0.0001893251413272,0.00024808822259394,0.00016402241704074,0.00016871540626881,8.763943327179e-05,7.065250030203e-05,4.140734873547e-05,3.297016250217e-05,1.952824097897796e-05,1.618386132025965e-05,2.8098063433479594e-05,5.188335377380176e-06,1.1186181792952227e-05,1.0337464857069294e-05,0.0,0.0,0.0,0.0,438.09592427864095
108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01498180093799208,0.01493570762093871,0.01493649541286694,0.01486087514776584,0.014781051959497108,0.014700008257323628,0.01433151928848201,0.013892140969490789,0.01351622838216906,0.013017666472723769,0.01299528228134223,0.01285817315901675,0.01083696619672692,0.01063888346354676,0.010109219226959579,0.00966106962616662,0.00800337325243335,0.006302387227457009,0.00549691256971551,0.00463701321591498,0.00417147352710564,0.00375123606670719,0.0017922947445343199,0.00133061991277227,0.00070218993626121,0.00026267721084549,0.00035276807443641,0.00025192374759708,0.000140232421956,8.495494596369e-05,0.00010749428634246,6.04759375365e-05,1.2375461033434822e-05,3.312849202869e-05,1.896851721440225e-05,2.045155828512613e-05,2.645129606628619e-05,1.2397433416024121e-05,2.9384703057437145e-06,1.0304896118594774e-06,0.0,0.0,0.0,435.4369389658662
109.0,0.0,0.0,0.0,0.0,0.015,0.0,0.01499975813223591,0.014804658102209819,0.014884107174670409,0.01487013454827834,0.01488189175364868,0.01485684223057443,0.01470280565074791,0.014455246531631848,0.013962189698322329,0.01326040392088653,0.01274193173622855,0.013306678690728031,0.01254765133268106,0.01079870855501013,0.010461190634122649,0.009562988720545078,0.00916783095339117,0.00812935167408951,0.006322629196871339,0.00559772188490016,0.004829969533503839,0.0048440975993181,0.0029656259923197597,0.0018554838238823397,0.00129825148264767,0.00082398722367579,0.00046247071341842995,0.00037874580851316,0.00020352999661659,0.00012271715297247,0.00012363092930793,6.123098228388e-05,5.0366929513889996e-05,1.699137558976164e-05,4.278021175419e-05,1.2266665866360252e-05,2.5528576206058778e-05,9.572639229017924e-06,1.2378355827659127e-05,4.380024985384776e-06,0.0,0.0,0.0,0.0,433.5696141545321
